,Ram,Weight,Price,Gaming,Netbook,Notebook,Ultrabook,Workstation,Intel,Nvidia,Mac,Windows
0,8,1.37,11.175754549129524,0,0,0,1,0,1,0,1,0
1,8,1.34,10.77677731765335,0,0,0,1,0,1,0,1,0
2,8,1.86,10.329931067029484,0,0,1,0,0,1,0,0,0
3,16,1.83,11.814475944954545,0,0,0,1,0,0,0,1,0
4,8,1.37,11.473100972779063,0,0,0,1,0,1,0,1,0
5,4,2.1,9.967025573340116,0,0,1,0,0,0,0,0,1
6,16,2.04,11.64410811545818,0,0,0,1,0,1,0,1,0
7,8,1.34,11.03061499223515,0,0,0,1,0,1,0,1,0
8,16,1.3,11.28544251205692,0,0,0,1,0,0,1,0,1
9,8,1.6,10.621951541079865,0,0,0,1,0,1,0,0,1
10,4,1.86,9.951658096208996,0,0,1,0,0,1,0,0,0
11,4,1.86,9.81907645733616,0,0,1,0,0,1,0,0,0
12,16,1.83,11.775302049361828,0,0,0,1,0,0,0,1,0
13,4,2.2,10.187966701099125,0,0,1,0,0,0,0,0,1
14,8,0.92,11.116330976323743,0,0,0,1,0,1,0,1,0
15,8,1.37,11.301072237406668,0,0,0,1,0,1,0,1,0
16,8,2.2,10.588945244611692,0,0,1,0,0,0,0,0,1
17,16,1.83,11.933438384721946,0,0,0,1,0,0,0,1,0
18,8,2.2,10.188167121983652,0,0,1,0,0,0,1,0,0
19,8,1.22,10.862092668762644,0,0,0,1,0,1,0,0,1
20,2,0.98,9.232535429245788,0,1,0,0,0,1,0,0,1
21,8,2.5,10.882315804880689,1,0,0,0,0,0,1,0,1
22,4,1.86,9.528520611153752,0,0,1,0,0,0,0,0,0
23,8,1.62,10.683645110085203,0,0,0,0,0,1,0,0,1
24,8,1.91,10.46628456073464,0,0,0,1,0,1,0,0,1
25,4,2.3,10.012572388296086,0,0,1,0,0,1,0,0,1
26,8,1.35,10.977716980635757,0,0,0,1,0,1,0,1,0
27,8,2.2,10.660172753900062,0,0,1,0,0,0,0,0,1
28,8,1.88,11.144140923496169,0,0,0,1,0,1,0,0,1
29,8,2.5,10.773501439207063,0,0,1,0,0,0,1,0,1
30,4,1.89,9.476778419617322,0,0,1,0,0,1,0,0,1
31,2,1.65,9.268865850956626,0,0,1,0,0,0,0,0,1
32,4,2.71,10.060060439307303,0,0,1,0,0,0,0,0,1
33,16,1.2,11.508719833687696,0,0,0,1,0,1,0,0,1
34,8,1.35,10.881314302543595,0,0,0,1,0,1,0,1,0
35,4,1.44,9.49301392269684,0,0,1,0,0,1,0,0,1
36,4,2.1,9.880922874286703,0,0,1,0,0,1,0,0,0
37,8,2.8,10.862092668762644,0,0,1,0,0,0,0,0,1
38,4,1.86,10.167289367847482,0,0,1,0,0,1,0,0,1
39,8,2.1,10.754345923917311,0,0,1,0,0,0,1,0,1
40,4,2.0,9.93914036985058,0,0,1,0,0,1,0,0,0
41,16,2.65,11.288114524334732,1,0,0,0,0,0,1,0,1
42,8,2.3,10.235123369655367,0,0,1,0,0,0,1,0,0
43,4,2.2,10.500590684075595,0,0,1,0,0,1,0,0,1
44,12,2.77,10.882315804880689,0,0,0,0,0,0,1,0,1
45,8,1.37,11.233268703392175,0,0,0,1,0,1,0,1,0
46,4,2.2,9.88635767027266,0,0,1,0,0,1,0,0,0
47,8,3.2,11.144911042902732,1,0,0,0,0,0,0,0,1
48,4,2.3,10.435465480609668,0,0,1,0,0,0,0,0,1
49,4,2.8,10.11974666035778,0,0,1,0,0,0,1,0,1
50,4,0.69,9.74075212901698,0,0,0,0,0,1,0,0,0
51,8,2.2,10.71015268620508,0,0,1,0,0,0,1,0,1
52,4,1.86,9.963243430044656,0,0,1,0,0,0,0,0,1
53,8,1.49,10.981350045485636,0,0,1,0,0,1,0,0,1
54,4,2.4,9.92620357881986,0,0,1,0,0,1,0,0,1
55,8,2.13,10.619090308798832,0,0,1,0,0,0,0,0,1
56,4,1.91,10.060060439307303,0,0,1,0,0,1,0,0,1
57,4,2.0,10.349204995339194,0,0,1,0,0,1,0,0,1
58,16,2.43,11.7789960831843,1,0,0,0,0,0,1,0,1
59,4,2.0,10.003839546462832,0,0,1,0,0,1,0,0,0
60,16,2.8,11.144911042902732,0,0,1,0,0,0,0,0,1
61,8,1.7,10.754345923917311,0,0,0,1,0,1,0,0,1
62,8,1.7,10.370822624347584,0,0,1,0,0,1,0,0,0
63,8,1.4,10.822504165817511,0,0,1,0,0,1,0,0,1
64,8,1.86,10.51225262382344,0,0,1,0,0,1,0,0,1
